"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","SBH","SBD","SBA","WHH","WHD","WHA","GB.2.5","GB.2.5.1","B365.2.5","B365.2.5.1","GBAHH","GBAHA","GBAH","LBAHH","LBAHA","LBAH","B365AHH","B365AHA","B365AH"
"18","E0","21/08/04","Southampton","Blackburn",3,2,"H",1,0,"H","A D'Urso",13,10,7,6,12,18,3,6,0,3,0,0,2.3,3.25,3,2.2,3.2,3,2.3,3.2,3,2.1,3,3.1,2.1,3.2,3,2.25,3.25,2.88,2.15,3.1,3,1.95,1.75,2.05,1.75,1.65,2.15,0,2,1.84,-0.25,2.05,1.85,-0.25
"19","E0","22/08/04","Arsenal","Middlesbrough",5,3,"H",1,1,"D","S Dunn",16,9,11,5,8,14,7,5,1,1,0,0,1.36,4.33,9,1.35,4,9,1.36,4.25,9,1.4,3.9,6,1.25,4.5,10,1.33,4.33,8.5,1.33,4,8,1.65,2.05,1.7,2.1,1.71,2.05,-1.25,2.08,1.76,-1.5,2.125,1.775,-1.5
"20","E0","22/08/04","West Brom","Aston Villa",1,1,"D",1,1,"D","M Halsey",14,9,5,4,12,20,12,4,2,2,0,0,2.87,3.2,2.4,2.65,3.1,2.5,2.8,3.2,2.45,2.7,3,2.3,2.88,3,2.25,2.8,3.1,2.38,2.62,2.9,2.5,1.95,1.75,2.05,1.75,1.75,2.12,0.25,1.72,2.12,0.25,1.775,2.125,0.25
"21","E0","24/08/04","Birmingham","Man City",1,0,"H",1,0,"H","P Dowd",6,4,2,1,20,13,2,5,1,1,0,0,1.9,3.1,4.33,1.95,3.25,3.6,1.93,3.25,3.95,1.9,3.1,3.5,1.91,3.2,3.5,1.91,3.25,3.75,1.83,3.2,3.75,1.95,1.75,2.05,1.75,2.2,1.6,-0.75,2.12,1.72,-0.5,1.8,2.1,-0.25
"22","E0","24/08/04","Crystal Palace","Chelsea",0,2,"A",0,1,"A","C Foy",7,16,4,10,9,12,1,6,1,1,0,0,8.5,3.75,1.44,7.5,3.6,1.45,7.5,3.75,1.47,5,3.7,1.5,6.5,3.6,1.44,7,3.75,1.44,6.5,3.6,1.44,1.85,1.85,1.85,1.95,2.05,1.7,1,2.12,1.72,1,1.9,2,1.25
"23","E0","25/08/04","Arsenal","Blackburn",3,0,"H",0,0,"D","N Barry",15,3,9,0,11,18,6,5,2,4,0,0,1.28,5,10,1.25,5,10,1.3,4.8,10,1.25,4.5,9,1.22,5,10,1.29,4.5,10,1.22,5,9.5,1.55,2.2,1.65,2.15,1.3,3.24,-0.5,1.9,1.94,-1.5,1.875,2.025,-1.5
"24","E0","25/08/04","Charlton","Aston Villa",3,0,"H",2,0,"H","H Webb",7,9,5,4,6,7,4,12,0,1,0,0,2.5,3.2,2.75,2.4,3.2,2.7,2.35,3.2,2.95,2.3,3,2.7,2.5,3.2,2.5,2.38,3.2,2.75,2.3,3.1,2.75,1.95,1.75,2,1.8,2.35,1.53,-0.5,1.82,2.02,0,1.8,2.1,0
"25","E0","25/08/04","Fulham","Middlesbrough",0,2,"A",0,0,"D","D Gallagher",6,10,2,5,10,8,1,6,0,1,0,0,2.5,3.2,2.75,2.3,3.25,2.8,2.4,3.2,2.85,2.3,3,2.7,2.2,3.25,2.75,2.38,3.2,2.75,2.3,3.1,2.75,1.95,1.75,1.95,1.85,2.4,1.51,-0.5,2.1,1.74,-0.25,1.75,2.15,0
"26","E0","25/08/04","Newcastle","Norwich",2,2,"D",1,0,"H","M Halsey",23,13,15,5,17,10,12,6,0,1,0,0,1.44,4,7.5,1.45,3.7,7,1.51,3.5,7.5,1.45,3.8,5.4,1.44,3.6,6.5,1.44,3.75,7,1.5,3.4,6,1.75,1.95,1.8,2,2.25,1.46,-1.5,2.08,1.76,-1.25,2.125,1.775,-1.25
"27","E0","25/08/04","Southampton","Bolton",1,2,"A",0,2,"A","S Dunn",10,9,6,5,9,8,9,6,1,1,0,0,2.25,3.2,3.1,2.1,3.2,3.2,2.35,3.2,2.95,2.2,3,2.9,2.2,3.25,2.75,2.2,3.2,3,2.3,3.1,2.75,1.95,1.75,1.95,1.85,2.35,1.53,-0.5,2.06,1.78,-0.25,2.05,1.85,-0.25
"28","E0","25/08/04","West Brom","Tottenham",1,1,"D",1,1,"D","B Knight",4,12,2,6,13,10,4,5,0,0,0,0,2.75,3.2,2.5,2.5,3.25,2.55,2.85,3.2,2.4,2.6,3,2.4,2.5,3.25,2.4,2.6,3.2,2.5,2.75,3.1,2.3,1.95,1.75,2.05,1.75,1.51,2.4,0.5,1.76,2.08,0.25,2.1,1.8,0
"29","E0","28/08/04","Aston Villa","Newcastle",4,2,"H",1,2,"A","M Riley",16,12,13,10,23,11,9,4,3,1,0,0,2.4,3.2,2.87,2.25,3.2,2.9,2.4,3.25,2.8,2.3,3,2.7,2.2,3.2,2.8,2.3,3.2,2.88,2.3,3,2.8,1.95,1.75,2,1.8,1.8,2.05,0,1.86,1.98,0,1.8,2.1,0
"30","E0","28/08/04","Blackburn","Man United",1,1,"D",1,0,"H","A Wiley",8,24,4,15,25,17,4,14,3,1,1,0,5,3.4,1.72,4,3.2,1.85,4.2,3.3,1.85,3.5,3.1,1.9,4.5,3.25,1.67,4.5,3.4,1.73,4,3,1.83,1.85,1.85,1.9,1.9,1.85,1.85,0.5,2,1.84,0.5,2.1,1.8,0.5
"31","E0","28/08/04","Chelsea","Southampton",2,1,"H",2,1,"H","S Bennett",16,6,7,2,11,12,9,0,0,4,0,0,1.28,5,10,1.3,4.5,9,1.3,4.7,10,1.25,4.5,9,1.29,4,10,1.29,4.5,10,1.3,4.2,8.5,1.71,2,1.75,2.05,1.85,1.85,-1.75,2.02,1.82,-1.75,1.85,2.05,-1.5
"32","E0","28/08/04","Everton","West Brom",2,1,"H",1,1,"D","P Walton",16,12,10,8,11,16,7,6,0,1,0,0,2,3.2,3.75,1.85,3.2,4,2,3.25,3.65,2,3.1,3.2,1.91,3.2,3.5,1.91,3.25,3.75,2.05,2.87,3.5,1.95,1.75,2.05,1.75,1.7,2.05,-0.25,2,1.84,-0.5,2.075,1.825,-0.5
"33","E0","28/08/04","Man City","Charlton",4,0,"H",2,0,"H","M Halsey",16,6,10,3,11,8,6,4,0,1,0,0,2.25,3.2,3.1,1.9,3.25,3.75,2.15,3.25,3.25,2.1,3,3.1,2,3.2,3.2,2.2,3.2,3,2.1,3.1,3.1,1.85,1.85,1.95,1.85,1.85,2,-0.25,1.86,1.98,-0.25,1.85,2.05,-0.25
"34","E0","28/08/04","Middlesbrough","Crystal Palace",2,1,"H",0,0,"D","M Dean",24,6,15,2,16,16,4,2,1,2,0,0,1.44,4,7.5,1.55,3.45,6,1.55,3.5,6.5,1.5,3.7,5,1.5,3.4,6,1.5,3.6,6.5,1.53,3.5,5.5,1.79,1.9,1.85,1.95,1.85,2,-1,1.96,1.88,-1.25,1.8,2.1,-1
"35","E0","28/08/04","Norwich","Arsenal",1,4,"A",0,3,"A","G Poll",5,18,5,15,15,5,4,10,1,1,0,0,9,4.33,1.36,7,3.75,1.45,7.5,4.1,1.42,6,3.9,1.4,7,3.75,1.4,7.5,4,1.4,8,4,1.33,1.65,2.05,1.65,2.2,1.9,1.95,1.25,2,1.84,1.25,1.9,2,1.25
"36","E0","28/08/04","Tottenham","Birmingham",1,0,"H",1,0,"H","M Clattenburg",6,10,3,2,15,5,2,8,4,1,0,0,2,3.2,3.75,1.9,3.25,3.75,2.1,3.25,3.4,2.1,3,3.1,1.83,3.2,3.75,2,3.2,3.5,2.15,3.1,3,1.9,1.79,2,1.8,1.8,2.05,-0.25,2.12,1.72,-0.5,2.1,1.8,-0.5
"37","E0","29/08/04","Bolton","Liverpool",1,0,"H",1,0,"H","U Rennie",10,7,8,2,15,14,5,2,2,0,0,0,3.2,3.25,2.2,3,3.2,2.2,3.2,3.2,2.2,2.9,3,2.2,3.2,3.2,2,3,3.2,2.2,3,3.1,2.15,1.85,1.85,1.9,1.9,1.95,1.9,0.25,2,1.84,0.25,1.975,1.925,0.25
"38","E0","30/08/04","Man United","Everton",0,0,"D",0,0,"D","D Gallagher",14,7,6,2,8,13,8,2,0,2,0,0,1.28,5,10,1.3,4.5,9,1.33,4.5,9.5,1.3,4.2,8,1.286,4.333,9,1.3,4.5,9,1.28,4.33,8.5,1.6,2.15,1.7,2.1,1.8,2.05,-1.25,1.82,2.02,-1.25,1.9,2,-1.25
"39","E0","30/08/04","Portsmouth","Fulham",4,3,"H",3,2,"H","B Knight",21,18,13,10,12,12,6,8,0,2,0,0,2.3,3.25,3,2.3,3.2,2.85,2.3,3.2,3,2.2,3,2.9,2.38,3.2,2.6,2.25,3.25,2.88,2.15,3.1,3,1.9,1.79,2,1.8,2.05,1.8,-0.25,NA,NA,NA,NA,NA,NA
"40","E0","11/09/04","Aston Villa","Chelsea",0,0,"D",0,0,"D","R Styles",11,18,5,10,9,12,2,9,0,1,0,0,4.333,3.1,1.909,3.8,3.2,1.9,3.8,3.3,1.95,3.5,3.1,1.9,3.75,3.25,1.8,3.75,3.25,1.9,3.5,3.2,1.9,1.95,1.75,2.1,1.7,2.05,1.7,0.25,1.94,1.9,0.5,1.925,1.975,0.5
"41","E0","11/09/04","Bolton","Man United",2,2,"D",0,1,"A","M Messias",12,12,7,7,22,15,4,7,2,1,0,0,3.75,3.5,1.909,3.55,3.3,1.9,3.8,3.3,1.95,3.2,3.1,2,3.6,3.4,1.833,3.75,3.25,1.9,3.5,3.2,1.9,1.79,1.9,1.95,1.85,2.1,1.67,0.25,1.86,1.98,0.5,1.875,2.025,0.5
"42","E0","11/09/04","Fulham","Arsenal",0,3,"A",0,0,"D","M Halsey",9,12,7,7,16,10,9,4,2,2,0,0,7,3.6,1.533,7.25,4,1.4,7.5,3.9,1.45,4.8,3.5,1.55,6.5,3.6,1.444,6,3.6,1.53,7,3.5,1.44,1.65,2.05,1.61,2.25,2.05,1.8,1,2.06,1.78,1,2.025,1.875,1
"43","E0","11/09/04","Liverpool","West Brom",3,0,"H",2,0,"H","S Dunn",16,9,9,5,9,11,8,6,0,0,0,0,1.444,3.75,8.5,1.5,3.55,6.5,1.55,3.6,6.5,1.4,3.9,6,1.4,3.75,7,1.4,4,7.5,1.5,3.4,6,1.79,1.9,1.8,2,1.67,2.1,-1,1.84,2,-1.25,1.95,1.95,-1.25
"44","E0","11/09/04","Man City","Everton",0,1,"A",0,0,"D","S Bennett",13,6,4,5,14,9,9,6,1,3,0,1,1.909,3.1,4.333,1.9,3.25,3.75,1.9,3.2,4.2,1.8,3.1,3.8,2,3.2,3.2,1.9,3.25,3.75,2,3.2,3.2,1.85,1.85,1.85,1.95,1.65,2.15,-0.25,1.92,1.92,-0.5,1.925,1.975,-0.5
"45","E0","11/09/04","Middlesbrough","Birmingham",2,1,"H",1,1,"D","G Poll",14,5,6,3,16,19,6,3,2,3,0,0,1.909,3.1,4.333,1.8,3.2,4.3,1.9,3.2,4.2,1.9,3.1,3.5,1.8,3.25,3.75,1.9,3.25,3.75,2,3.1,3.3,1.9,1.79,2.05,1.75,1.65,2.15,-0.25,1.94,1.9,-0.5,1.925,1.975,-0.5
"46","E0","11/09/04","Newcastle","Blackburn",3,0,"H",2,0,"H","D Gallagher",7,5,4,1,10,19,8,5,2,1,0,0,1.667,3.4,5.5,1.6,3.5,5.25,1.7,3.4,5.1,1.7,3.2,4.2,1.615,3.5,4.5,1.72,3.4,4.5,1.8,2.9,4.5,1.75,1.95,1.75,2.05,2.05,1.7,-1,1.84,2,-0.75,1.95,1.95,-0.75
"47","E0","11/09/04","Portsmouth","Crystal Palace",3,1,"H",1,1,"D","P Dowd",16,6,7,3,14,21,8,7,0,2,0,0,1.8,3.5,4.333,1.7,3.3,4.75,1.7,3.4,5.1,1.8,3.1,3.8,1.727,3.4,4,1.72,3.4,4.5,1.72,3.25,4.2,1.85,1.85,1.85,1.95,2.2,1.6,-1,2.1,1.74,-0.75,2.125,1.775,-0.75
"48","E0","12/09/04","Tottenham","Norwich",0,0,"D",0,0,"D","H Webb",15,7,7,2,17,9,13,5,2,1,0,0,1.571,3.5,6.5,1.5,3.55,6.5,1.55,3.6,6.5,1.55,3.5,4.8,1.571,3.5,5,1.61,3.4,5.5,1.57,3.3,5.5,1.79,1.9,1.9,1.9,2.05,1.7,-1,1.88,1.96,-0.75,1.875,2.025,-0.75
"49","E0","13/09/04","Charlton","Southampton",0,0,"D",0,0,"D","N Barry",8,12,4,7,12,13,9,10,0,1,0,0,1.833,3.3,4.333,1.95,3.25,3.55,2,3.35,3.6,1.9,3.1,3.5,1.833,3.2,3.75,2,3.2,3.5,1.8,3.3,3.75,1.85,1.85,1.9,1.9,1.8,2.05,-0.25,2,1.84,-0.5,1.8,2.1,-0.25
"50","E0","18/09/04","Arsenal","Bolton",2,2,"D",1,0,"H","P Dowd",11,8,6,5,13,17,3,8,1,3,0,0,1.25,5,13,1.3,4.5,9,1.27,5,11,1.3,4.2,8,1.25,4.5,10,1.25,5,10,1.2,5,11,1.55,2.25,1.65,2.2,1.67,2.1,-1.25,NA,NA,NA,1.975,1.925,-1.5
"51","E0","18/09/04","Birmingham","Charlton",1,1,"D",0,0,"D","U Rennie",7,2,5,1,12,16,12,3,3,2,1,0,1.9,3.1,4.33,1.85,3.2,4,1.9,3.3,4,1.8,3.1,3.8,1.91,3.25,3.4,1.91,3.25,3.75,1.8,3.3,3.75,1.9,1.79,2.05,1.75,1.65,2.15,-0.25,1.9,1.94,-0.5,1.95,1.95,-0.5
"52","E0","18/09/04","Blackburn","Portsmouth",1,0,"H",0,0,"D","M Clattenburg",13,6,3,2,13,15,13,4,0,3,0,0,2.2,3.25,3.2,2,3.15,3.5,2.15,3.2,3.3,2,3.1,3.2,2.1,3.2,3,2.2,3.25,3,2.15,3,3.1,1.85,1.85,1.95,1.85,1.55,2.35,0,1.82,2.02,-0.25,2.15,1.75,-0.5
"53","E0","18/09/04","Crystal Palace","Man City",1,2,"A",0,0,"D","M Atkinson",3,14,1,10,14,15,2,7,2,2,0,0,2.6,3.2,2.62,2.5,3.25,2.55,2.65,3.2,2.55,2.5,3,2.5,2.5,3.25,2.4,2.5,3.2,2.62,2.5,3.1,2.5,1.85,1.85,1.95,1.85,2.3,1.55,-0.25,2.04,1.8,0,2.05,1.85,0
"54","E0","18/09/04","Norwich","Aston Villa",0,0,"D",0,0,"D","B Knight",14,18,3,9,10,13,1,6,1,1,0,0,2.75,3.2,2.5,2.75,3.2,2.35,2.8,3.25,2.4,2.5,3,2.5,2.6,3.2,2.38,2.62,3.2,2.5,2.62,2.9,2.5,1.9,1.79,1.95,1.85,2.4,1.52,-0.25,2,1.84,0,2.05,1.85,0
"55","E0","18/09/04","West Brom","Fulham",1,1,"D",0,0,"D","M Dean",8,9,5,3,11,6,11,9,2,5,1,2,2.5,3.2,2.75,2.3,3.15,2.85,2.4,3.25,2.8,2.2,3,2.9,2.38,3.2,2.6,2.4,3.2,2.7,2.37,3.1,2.62,1.95,1.75,2.05,1.75,2.2,1.6,-0.25,1.82,2.02,0,1.8,2.1,0
"56","E0","19/09/04","Chelsea","Tottenham",0,0,"D",0,0,"D","M Riley",20,6,8,3,16,13,9,6,1,2,0,0,1.5,3.6,7.5,1.5,3.6,6.25,1.5,3.7,7,1.4,3.9,6,1.5,3.4,6,1.44,3.75,7,1.44,3.5,7,1.75,1.95,1.95,1.85,2.2,1.6,-1.25,1.84,2,-1,1.85,2.05,-1
"57","E0","19/09/04","Everton","Middlesbrough",1,0,"H",0,0,"D","H Webb",11,16,9,11,13,12,6,3,1,4,0,0,2.5,3.2,2.75,2.35,3.2,2.75,2.4,3.25,2.8,2.4,3,2.6,2.25,3.2,2.75,2.38,3.2,2.75,2.37,3.1,2.62,1.85,1.85,2,1.8,2.1,1.67,-0.25,1.84,2,0,1.8,2.1,0
"58","E0","19/09/04","Southampton","Newcastle",1,2,"A",0,1,"A","C Foy",11,9,6,3,15,11,7,6,0,3,0,0,2.87,3.25,2.37,2.5,3.15,2.6,2.6,3.25,2.55,2.5,3,2.5,2.6,3.2,2.38,2.75,3.2,2.38,2.75,3.2,2.25,1.85,1.85,2,1.8,2.6,1.45,-0.25,2.04,1.8,0,2.1,1.8,0
"59","E0","20/09/04","Man United","Liverpool",2,1,"H",1,0,"H","G Poll",14,6,9,3,22,15,7,2,1,2,0,0,2,3.2,3.75,1.9,3.2,3.8,2,3.2,3.75,2.1,3,3.1,1.83,3.2,3.75,1.91,3.25,3.75,2,3,3.4,1.85,1.85,2,1.8,1.55,2.3,0,1.9,1.94,-0.25,1.85,2.05,-0.25
"60","E0","25/09/04","Aston Villa","Crystal Palace",1,1,"D",1,1,"D","M Clattenburg",10,13,5,8,10,15,5,8,2,1,0,0,1.5,3.6,7.5,1.4,4,7.25,1.45,3.9,7.5,1.45,3.8,5.4,1.36,3.75,8,1.5,3.6,6.5,1.5,3.4,6,1.75,1.95,1.9,1.9,1.95,1.9,-1.25,1.94,1.9,-1.25,2.025,1.875,-1.25
"61","E0","25/09/04","Bolton","Birmingham",1,1,"D",1,0,"H","R Styles",16,6,12,2,7,18,7,2,2,1,0,0,2,3.2,3.75,1.85,3.3,3.85,2,3.25,3.7,1.9,3.1,3.5,1.8,3.2,4,1.91,3.25,3.75,2,3.1,3.3,1.9,1.79,2.05,1.75,1.6,2.2,-0.25,1.98,1.86,-0.5,2,1.9,-0.5
"62","E0","25/09/04","Fulham","Southampton",1,0,"H",1,0,"H","G Poll",11,15,6,5,11,19,5,4,0,1,0,0,2,3.2,3.75,1.95,3.2,3.6,2,3.2,3.75,1.85,3.1,3.6,1.83,3.2,3.75,1.91,3.25,3.75,1.83,3.2,3.75,1.95,1.75,2.05,1.75,1.6,2.2,-0.25,2.04,1.8,-0.5,2.125,1.775,-0.5
"63","E0","25/09/04","Liverpool","Norwich",3,0,"H",2,0,"H","A Wiley",20,2,12,1,10,12,4,2,1,0,0,0,1.4,4,9,1.35,4,9,1.45,3.9,7.5,1.4,3.9,6,1.36,3.75,8,1.4,4,7.5,1.36,3.75,8,1.79,1.9,1.9,1.9,1.7,2.05,-1,2.02,1.82,-1.25,2.075,1.825,-1.25
"64","E0","25/09/04","Man City","Arsenal",0,1,"A",0,1,"A","N Barry",11,12,7,9,16,8,8,1,1,0,0,0,6.5,3.5,1.57,5.65,3.55,1.55,5.5,3.5,1.62,5,3.7,1.5,6,3.4,1.5,5.5,3.6,1.57,6,3.4,1.5,1.75,1.95,1.65,2.2,2.05,1.8,0.75,2.1,1.74,0.75,2.1,1.8,0.75
"65","E0","25/09/04","Middlesbrough","Chelsea",0,1,"A",0,0,"D","M Halsey",8,17,4,12,10,15,3,7,0,1,0,0,3.5,3.2,2.1,3.2,3.2,2.1,3.3,3.2,2.15,3.2,3.1,2,3.75,3.2,1.83,3.5,3.2,2,3.1,3.1,2.1,1.95,1.75,2.1,1.7,2.05,1.8,0.25,2.1,1.74,0.25,2.05,1.85,0.25
"66","E0","25/09/04","Newcastle","West Brom",3,1,"H",0,0,"D","M Riley",31,7,10,3,15,15,8,3,3,2,0,1,1.5,3.75,7,1.4,4,7.25,1.45,3.9,7.5,1.45,3.8,5.4,1.4,3.75,7,1.44,3.75,7,1.53,3.1,6.5,1.75,1.95,1.85,1.95,1.6,2.2,-1,1.94,1.9,-1.25,2.05,1.85,-1.25
"67","E0","25/09/04","Tottenham","Man United",0,1,"A",0,1,"A","P Walton",11,6,5,4,9,10,3,3,1,0,0,0,3.4,3.25,2.1,3.2,3.2,2.1,3.3,3.2,2.15,3.2,3.1,2,3,3.2,2.1,3.25,3.2,2.1,3.2,3,2.1,1.9,1.79,1.95,1.85,2,1.85,0.25,2.1,1.74,0.25,1.775,2.125,0.5
"68","E0","26/09/04","Portsmouth","Everton",0,1,"A",0,0,"D","D Gallagher",11,9,6,2,12,16,3,6,1,1,0,0,2.25,3.2,3.1,2.25,3.1,3,2.25,3.2,3.1,2.3,3,2.7,2.25,3.2,2.75,2.2,3.25,3,2.1,3.2,3,1.9,1.79,1.95,1.85,1.95,1.9,-0.25,1.98,1.86,-0.25,1.975,1.925,-0.25
